key,nom,editeur,categories,installs,avis,note,cloud,modele_dc,derniere_version_dc
jp.ricksoft.plugins.wbsgantt-for-jira,WBS Gantt-Chart for Jira (Enterprise Project Management),"Ricksoft, Inc.",Time tracking;Charts & diagramming;Reports;Project management,5402,160,3.48,oui,atlassian,2026-08-04
com.devsamurai.plugin.jira.team-board,"Project Management, Resource Planning & Gantt Chart for Jira",DevSamurai,Time tracking;Charts & diagramming;Dependency management;Project management,3118,175,4.34,oui,atlassian,2026-07-08
aa.analytics,"ActionableAgile® Analytics: Kanban/ Agile Metrics, Forecasts",55 Degrees AB,Workflow;Charts & diagramming;Reports;Project management,1463,32,4.06,oui,atlassian,2026-09-01
slack.nextup.jira,Slack Integration+ for Jira,Appfire,Workflow;Messaging;Integrations;IT & helpdesk,2696,77,4.64,oui,atlassian,2026-09-22
com.kaanha.jira.powerbi,Power BI Connector - Connect Power BI and Jira,Appfire,Charts & diagramming;Reports;Integrations;Project management,2532,59,4.72,oui,atlassian,2026-09-15
jql-extensions,JQL Search Extensions for Jira,Appfire,Reports;Utilities;Project management,3912,51,4.09,oui,atlassian,2026-04-15
com.tensixtwo.conf.latexmath,LaTeX Math,Appfire,Documentation;Macros,3216,40,4.38,oui,atlassian,2026-08-03
com.infostretch.QmetryTestManager,QMetry - Test Management for Jira (QTM4J),SmartBear Software,Continuous integration;Code quality;Project management;Testing & QA,2133,200,4.65,oui,atlassian,2026-09-07
ch.bitvoodoo.confluence.plugins.viewtracker,Viewtracker - Analytics for Confluence,Elevatic,Admin tools;Reports;Document management,2380,62,4.64,oui,atlassian,2026-08-25
pl.com.tt.jira.plugin.theschedulerpro,The Scheduler,Transition Technologies PSC,Tasks;Utilities;IT & helpdesk;Project management,3027,68,4.25,oui,atlassian,2026-09-08
com.vertuna.confluence.plugins.confiforms,ConfiForms - Data Forms & Workflows for Confluence,Vertuna LLC,Workflow;Email;Document management;IT & helpdesk,1871,95,4.87,oui,atlassian,2026-09-14
doitbetter.calendar,Calendar for Jira,Doitb,Charts & diagramming;Reports;Tasks;Project management,2838,59,4.36,oui,atlassian,2026-07-10
com.kaanha.reports,Reports and Timesheets for Jira,Appfire,Time tracking;Charts & diagramming;Reports;Project management,2207,108,4.58,oui,atlassian,2026-09-15
com.keplerrominfo.jira.plugins.jjupin,Power Scripts - Jira Workflow Automation,Appfire,Admin tools;Workflow;Custom fields;IT & helpdesk,1800,302,4.76,oui,atlassian,2026-09-22
softwareplant.bigtemplate,"BigTemplate - Export to PDF, Word, Excel",Appfire,Charts & diagramming;Document management;Integrations;Project management,3706,66,3.84,oui,atlassian,2026-09-10
