url,nom,prix,scopes,scopes_anciens,statut
https://slack.com/marketplace/A7D457P6U-annotatepro,AnnotatePro & Slack Integration | Slack Marketplace,,commands files:write:user,,
https://slack.com/marketplace/A7D8BAH8S-teamhub,TeamHub & Slack Integration | Slack Marketplace,,channels:history channels:read emoji:read files:read identity.basic identity.email reactions:read users:read,,
https://slack.com/marketplace/A7FCZTU4A-actionmint,Actionmint & Slack Integration | Slack Marketplace,,commands incoming-webhook,,
https://slack.com/marketplace/A7FHF0KQA-demandbase,Demandbase & Slack Integration | Slack Marketplace,Paid,assistant:write chat:write im:history mcp:connect team:read users:read users:read.email,,
https://slack.com/marketplace/A7FTEHPEG-chatbot,ChatBot & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot dnd:read emoji:read files:read files:write:user groups:history groups:read im:history im:read im:write mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/A7G7A0T6J-zadarmabot,Zadarmabot & Slack Integration | Slack Marketplace,Paid,app_mentions:read channels:read chat:write groups:read im:history im:write,,
https://slack.com/marketplace/A7GHBE4LF-skrum,Skrum & Slack Integration | Slack Marketplace,,channels:read chat:write:bot commands groups:read im:read mpim:read users.profile:read users:read users:read.email,,
https://slack.com/marketplace/A7GL6A16W-landbotio,Landbot.io & Slack Integration | Slack Marketplace,Free and paid plans available,incoming-webhook,,
https://slack.com/marketplace/A7J8LCM5K-snackbot,Snackbot & Slack Integration | Slack Marketplace,Free and paid plans available,app_mentions:read channels:history channels:read chat:write groups:history groups:read im:history im:read im:write mpim:history mpim:read reactions:write users:read,,
https://slack.com/marketplace/A7JLYRXPV-sitemap,SiteMap & Slack Integration | Slack Marketplace,,commands files:write:user,,
https://slack.com/marketplace/A7JQ52C03-youscan,YouScan & Slack Integration | Slack Marketplace,Paid with free trial,incoming-webhook team:read,,
https://slack.com/marketplace/A7JVAE39T-invoco-telecom,Invoco Telecom & Slack Integration | Slack Marketplace,,channels:read chat:write:bot,,
https://slack.com/marketplace/A7K4SERB5-volare,Volare & Slack Integration | Slack Marketplace,,incoming-webhook,,
https://slack.com/marketplace/A7KS7HQTC-culturehq,CultureHQ & Slack Integration | Slack Marketplace,Paid,channels:join channels:read chat:write commands groups:read im:write incoming-webhook users:read users:read.email,,
https://slack.com/marketplace/A7L1G877E-everhour,Everhour & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.customize chat:write.public groups:read,,
https://slack.com/marketplace/A7LLZLLAV-tokeet,Tokeet & Slack Integration | Slack Marketplace,Free and paid plans available,channels:read chat:write chat:write.public,,
https://slack.com/marketplace/A7MPSSJ6R-vimeo,Vimeo & Slack Integration | Slack Marketplace,Free and paid plans available,incoming-webhook,,
https://slack.com/marketplace/A7NM4S8Q0-gohire,GoHire & Slack Integration | Slack Marketplace,Paid with free trial,incoming-webhook,,
https://slack.com/marketplace/A7P35MCT0-adobe-express,Adobe Express & Slack Integration | Slack Marketplace,Free and paid plans available,assistant:write channels:read chat:write chat:write.public commands files:write groups:read groups:write im:history im:read im:write mpim:read reactions:write team:read users:read users:read.email,,
